university,thCode,enCode
มหาวิทยาลัยราชภัฏนครสวรรค์,มร.นว.,NSRU
มหาวิทยาลัยราชภัฏพระนคร,มรภ.พระนคร,PNRU
มหาวิทยาลัยราชภัฏพระนครศรีอยุธยา,มร.อย.,ARU
มหาวิทยาลัยราชภัฏพิบูลสงคราม,มร.พส.,PSRU
มหาวิทยาลัยราชภัฏเพชรบูรณ์,มร.พช.,PCRU
มหาวิทยาลัยราชภัฏร้อยเอ็ด,มรภ.รอ.,RERU
มหาวิทยาลัยราชภัฏรำไพพรรณี,มร.รพ.,RBRU
มหาวิทยาลัยราชภัฏสกลนคร,มร.สน.,SNRU
มหาวิทยาลัยราชภัฏสวนสุนันทา,มร.สส.,SSRU
มหาวิทยาลัยราชภัฏสุรินทร์,มรภ.สร.,SRRU
มหาวิทยาลัยราชภัฏหมู่บ้านจอมบึง,มร.มจ.,MCRU
สถาบันการอาชีวศึกษาเกษตรภาคเหนือ,สอกน.,NVIA
สถาบันการอาชีวศึกษาเกษตรภาคใต้,สอกต.,SVIA
สถาบันการอาชีวศึกษาเกษตรภาคกลาง,สอกก.,IVACRER
สถาบันการอาชีวศึกษาเกษตรภาคตะวันออกเฉียงเหนือ,สอกฉ.,NEVIA
สถาบันการอาชีวศึกษากรุงเทพมหานคร,สอกท.,IVEB
สถาบันการอาชีวศึกษาภาคเหนือ ๑,สอน. ๑,IVEN 1
สถาบันการอาชีวศึกษาภาคเหนือ ๒,สอน. ๒,IVENR 2
สถาบันการอาชีวศึกษาภาคเหนือ ๓,สอน. ๓,IVEN 3
สถาบันการอาชีวศึกษาภาคเหนือ ๔,สอน. ๔,IVENR 4
สถาบันการอาชีวศึกษาภาคใต้ ๑,สอต. ๑,VEIS 1
สถาบันการอาชีวศึกษาภาคใต้ ๒,สอต. ๒,VEIS 2
สถาบันการอาชีวศึกษาภาคใต้ ๓,สอต. ๓,VEIS 3
สถาบันการอาชีวศึกษาภาคกลาง ๑,สอก. ๑,CVEI 1
สถาบันการอาชีวศึกษาภาคกลาง ๒,สอก. ๒,IVECR 2
สถาบันการอาชีวศึกษาภาคกลาง ๓,สอก. ๓,IVEC 3
สถาบันการอาชีวศึกษาภาคกลาง ๔,สอก. ๔,IVEC 4
สถาบันการอาชีวศึกษาภาคกลาง ๕,สอก. ๕,VEI 5
สถาบันการอาชีวศึกษาภาคตะวันออก,สออ.,EIVT
สถาบันการอาชีวศึกษาภาคตะวันออกเฉียงเหนือ ๑,สอฉ. ๑,IVENE 1
